Country,Curruption,Gini
Trinidad and Tobago2016,35,40.27296000000001
Trinidad and Tobago2017,41,40.27296000000001
Trinidad and Tobago2018,41,40.27296000000001
Tunisia2016,41,32.81588
Tunisia2017,42,32.81588
Tunisia2018,43,32.81588
Turkey2012,49,40.16894
Turkey2013,50,40.1785
Turkey2014,45,41.23656
Turkey2015,42,42.854459999999996
Turkey2016,41,41.8737
Turkey2017,40,41.40567
Turkey2018,41,41.877520000000004
Turkmenistan2012,17,40.80693
Turkmenistan2013,17,40.80693
Turkmenistan2014,17,40.80693
Turkmenistan2015,18,40.80693
Turkmenistan2016,22,40.80693
Turkmenistan2017,19,40.80693
Turkmenistan2018,20,40.80693
Uganda2017,26,42.75369
Uganda2018,26,42.75369
Ukraine2012,26,24.740660000000002
Ukraine2013,25,24.55499
Ukraine2014,26,24.025370000000002
Ukraine2015,27,25.457539999999998
Ukraine2016,29,25.0022
Ukraine2017,30,26.04905
Ukraine2018,32,26.071490000000004
United Arab Emirates2012,68,32.51042
United Arab Emirates2018,70,25.96615
United Kingdom2012,74,32.3451
United Kingdom2013,76,33.20897
United Kingdom2014,78,34.04893
United Kingdom2015,81,33.235079999999996
United Kingdom2016,81,34.77961
United Kingdom2017,82,35.14883
United Kingdom2018,80,35.14883
United States2012,73,40.936859999999996
United States2013,73,40.65201
United States2014,74,41.51161
United States2015,76,41.23878000000001
United States2016,74,41.12189
United States2017,75,41.18056
United States2018,71,41.40784
Uruguay2012,72,39.90057
Uruguay2013,73,40.45091
Uruguay2014,73,40.101420000000005
Uruguay2015,74,40.12403
Uruguay2016,71,39.68956
Uruguay2017,70,39.464529999999996
Uruguay2018,70,39.68724
Uzbekistan2012,17,35.2688
Uzbekistan2013,17,35.2688
Uzbekistan2014,18,35.2688
Uzbekistan2015,19,35.2688
Uzbekistan2016,21,35.2688
Uzbekistan2017,22,35.2688
Uzbekistan2018,23,35.2688
Vanuatu2017,43,37.62623
Vanuatu2018,46,37.62623
Venezuela2012,19,44.7705
Venezuela2013,20,44.7705
Venezuela2014,19,44.7705
Vietnam2012,31,35.64589
Vietnam2014,31,34.75538
Vietnam2016,33,35.26707000000001
Vietnam2018,33,35.71555
Yemen2014,19,36.70709
Yemen2015,18,36.70709
Yemen2016,14,36.70709
Yemen2017,16,36.70709
Yemen2018,14,36.70709
Zambia2015,38,57.13606
Zambia2016,38,57.13606
Zambia2017,37,57.13606
Zambia2018,35,57.13606
Zimbabwe2017,22,44.33708
